code,plain_name,source
A0021,"Ambulance service, outside state per mile, transport (medicaid only)",cms_hcpcs_l2
A0080,"Non-emergency transportation, per mile - vehicle provided by volunteer",cms_hcpcs_l2
A0090,"Non-emergency transportation, per mile - vehicle provided by individual (family",cms_hcpcs_l2
A0100,Non-emergency transportation; taxi,cms_hcpcs_l2
A0110,"Non-emergency transportation and bus, intra or inter state carrier",cms_hcpcs_l2
A0120,"Non-emergency transportation: mini-bus, mountain area transports, or other",cms_hcpcs_l2
A0130,Non-emergency transportation: wheelchair van,cms_hcpcs_l2
A0140,Non-emergency transportation and air travel (private or commercial) intra or,cms_hcpcs_l2
A0160,Non-emergency transportation: per mile - case worker or social worker,cms_hcpcs_l2
A0170,"Transportation ancillary: parking fees, tolls, other",cms_hcpcs_l2
A0180,Non-emergency transportation: ancillary: lodging-recipient,cms_hcpcs_l2
A0190,Non-emergency transportation: ancillary: meals-recipient,cms_hcpcs_l2
A0200,Non-emergency transportation: ancillary: lodging escort,cms_hcpcs_l2
A0210,Non-emergency transportation: ancillary: meals-escort,cms_hcpcs_l2
A0225,"Ambulance service, neonatal transport, base rate, emergency transport, one way",cms_hcpcs_l2
A0380,Bls mileage (per mile),cms_hcpcs_l2
A0382,Bls routine disposable supplies,cms_hcpcs_l2
A0384,Bls specialized service disposable supplies; defibrillation (used by als,cms_hcpcs_l2
A0390,Als mileage (per mile),cms_hcpcs_l2
A0392,Als specialized service disposable supplies; defibrillation (to be used only in,cms_hcpcs_l2
A0394,Als specialized service disposable supplies; iv drug therapy,cms_hcpcs_l2
A0396,Als specialized service disposable supplies; esophageal intubation,cms_hcpcs_l2
A0398,Als routine disposable supplies,cms_hcpcs_l2
A0420,"Ambulance waiting time (als or bls), one half (1/2) hour increments",cms_hcpcs_l2
A0422,"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation",cms_hcpcs_l2
A0424,"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged);",cms_hcpcs_l2
A0425,"Ground mileage, per statute mile",cms_hcpcs_l2
A0426,"Ambulance service, advanced life support, non-emergency transport, level 1 (als",cms_hcpcs_l2
A0427,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 -",cms_hcpcs_l2
A0428,"Ambulance service, basic life support, non-emergency transport, (bls)",cms_hcpcs_l2
A0429,"Ambulance service, basic life support, emergency transport (bls-emergency)",cms_hcpcs_l2
A0430,"Ambulance service, conventional air services, transport, one way (fixed wing)",cms_hcpcs_l2
A0431,"Ambulance service, conventional air services, transport, one way (rotary wing)",cms_hcpcs_l2
A0432,"Paramedic intercept (pi), rural area, transport furnished by a volunteer",cms_hcpcs_l2
A0433,"Advanced life support, level 2 (als 2)",cms_hcpcs_l2
A0434,Specialty care transport (sct),cms_hcpcs_l2
A0435,"Fixed wing air mileage, per statute mile",cms_hcpcs_l2
A0436,"Rotary wing air mileage, per statute mile",cms_hcpcs_l2
A0888,"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest",cms_hcpcs_l2
A0998,"Ambulance response and treatment, no transport",cms_hcpcs_l2
A0999,Unlisted ambulance service,cms_hcpcs_l2
A2001,"Innovamatrix ac, per square centimeter",cms_hcpcs_l2
A2002,"Mirragen advanced wound matrix, per square centimeter",cms_hcpcs_l2
A2004,"Xcellistem, 1 mg",cms_hcpcs_l2
A2005,"Microlyte matrix, per square centimeter",cms_hcpcs_l2
A2006,"Novosorb synpath dermal matrix, per square centimeter",cms_hcpcs_l2
A2007,"Restrata, per square centimeter",cms_hcpcs_l2
A2008,"Theragenesis, per square centimeter",cms_hcpcs_l2
A2009,"Symphony, per square centimeter",cms_hcpcs_l2
A2010,"Apis, per square centimeter",cms_hcpcs_l2
A2011,"Supra sdrm, per square centimeter",cms_hcpcs_l2
A2012,"Suprathel, per square centimeter",cms_hcpcs_l2
A2013,"Innovamatrix fs, per square centimeter",cms_hcpcs_l2
A2014,"Omeza collagen matrix, per 100 mg",cms_hcpcs_l2
A2015,"Phoenix wound matrix, per square centimeter",cms_hcpcs_l2
A2016,"Permeaderm b, per square centimeter",cms_hcpcs_l2
A2017,"Permeaderm glove, each",cms_hcpcs_l2
A2018,"Permeaderm c, per square centimeter",cms_hcpcs_l2
A2019,"Kerecis omega3 marigen shield, per square centimeter",cms_hcpcs_l2
A2020,Ac5 advanced wound system (ac5),cms_hcpcs_l2
A2021,"Neomatrix, per square centimeter",cms_hcpcs_l2
A2022,"Innovaburn or innovamatrix xl, per square centimeter",cms_hcpcs_l2
A2023,"Innovamatrix pd, 1 mg",cms_hcpcs_l2
A2024,"Resolve matrix or xenopatch, per square centimeter",cms_hcpcs_l2
A2025,"Miro3d, per cubic centimeter",cms_hcpcs_l2
A2026,"Restrata minimatrix, 5 mg",cms_hcpcs_l2
A2027,"Matriderm, per square centimeter",cms_hcpcs_l2
A2028,"Micromatrix flex, per mg",cms_hcpcs_l2
A2029,"Mirotract wound matrix sheet, per cubic centimeter",cms_hcpcs_l2
A2030,"Miro3d fibers, per milligram",cms_hcpcs_l2
A2031,"Mirodry wound matrix, per square centimeter",cms_hcpcs_l2
A2032,"Myriad matrix, per square centimeter",cms_hcpcs_l2
